code,date,buy_at,max,max_idx,idx,is_selled,sell_at,sell_date,r,open,close,f1_open,f1_close,f2_open,f2_close,f3_open,f3_close,r2,is_cut,r3,is_cut2
000860.SZ,2018-10-19,93.37832,99.71528,2092,2091,TRUE,90.14095,2018-10-24,-3.47%,84.952,91.93184,93.37832,99.25608,98.19992,92.2992,90.14095,88.97,-3.47%,0,5.16%,0
600132.SH,2019-7-19,227.99269,234.46669,2277,2270,TRUE,220.116,2019-8-1,-3.45%,217.3106,229.12566,227.99269,221.5187,221.19499,222.7056,222.7056,225.40309,-2.32%,1,-2.98%,0
300750.SZ,2020-3-25,119.24802,126.34217,443,435,TRUE,115.1298,2020-4-13,-3.45%,116.432396,121.242,119.24802,119.869255,122.454414,118.94742,116.231995,119.548615,-2.53%,0,2.69%,0
002095.SZ,2016-2-4,280.4445,293.64032,1484,1476,TRUE,270.93118,2016-2-25,-3.39%,245.94238,268.0816,280.4445,259.75198,245.504,268.78302,267.42398,276.54272,-4.64%,1,-12.46%,1
603659.SH,2020-4-2,67.30932,69.45901,533,531,TRUE,65.159645,2020-4-14,-3.19%,62.462402,66.53869,67.30932,66.58938,68.71878,68.941864,68.83032,67.22821,2.26%,0,2.09%,0
603019.SH,2016-2-16,68.35829,70.56049,298,296,TRUE,66.37631,2016-2-24,-2.90%,65.3653,68.6686,68.35829,69.10905,69.95989,68.11806,68.10805,68.568504,-0.37%,0,2.34%,0
002281.SZ,2016-2-15,57.678883,61.03157,1419,1416,TRUE,56.070847,2016-2-25,-2.79%,52.81275,57.73143,57.678883,59.28691,59.26589,59.99108,60.30638,59.223846,4.56%,0,2.75%,0
300598.SZ,2020-4-20,255.77249,275.25946,784,783,TRUE,248.72745,2020-4-24,-2.75%,241.2,254.86801,255.77249,266.93802,261.67184,261.3,262.2849,250.73746,2.55%,0,2.31%,0
002304.SZ,2018-3-29,422.16278,431.86002,1992,1991,TRUE,410.89517,2018-4-4,-2.67%,396.76157,423.4191,422.16278,423.96875,417.25528,412.23,411.05222,408.97144,-2.63%,1,-1.16%,0
000661.SZ,2016-1-18,342.468,353.43967,1429,1428,TRUE,333.6209,2016-1-22,-2.58%,320.271,341.8338,342.468,349.0637,347.5416,340.34344,336.91876,331.52805,-1.62%,0,1.48%,0
603259.SH,2020-4-9,143.52075,145.71878,470,469,TRUE,140.26596,2020-4-17,-2.27%,135.99667,143.718,143.52075,141.11136,140.3364,142.4499,143.68983,143.70392,0.12%,0,-2.22%,0
300598.SZ,2020-4-15,246.71745,259.74225,782,780,TRUE,241.2,2020-4-20,-2.24%,240.6774,252.20474,246.71745,248.18474,250.45605,242.63715,241.2,254.86801,-2.24%,0,1.52%,0
000596.SZ,2018-8-27,267.4873,277.137,2094,2093,TRUE,261.7442,2018-9-3,-2.15%,252.76228,266.7193,267.4873,264.04813,264.58237,266.08493,264.28186,268.95645,-1.20%,0,-1.09%,0
600276.SH,2018-8-21,2452.5674,2634.9895,2096,2092,TRUE,2400.6045,2018-9-3,-2.12%,2321.739,2469.1511,2452.5674,2453.3042,2462.149,2489.7886,2475.0476,2504.8984,0.92%,0,0.39%,0
601888.SH,2018-8-27,137.984,143.50334,2040,2037,TRUE,135.1812,2018-9-4,-2.03%,128.7132,140.09688,137.984,139.1698,138.3074,138.35051,137.33719,139.7088,-0.47%,0,0.23%,0
300450.SZ,2018-1-2,365.1165,392.9695,497,495,TRUE,357.7294,2018-1-11,-2.02%,348.58633,362.63394,365.1165,380.254,381.34387,381.40445,381.465,378.31638,4.48%,0,4.44%,0
002647.SZ,2017-2-17,74.592,77.922005,806,805,TRUE,73.11348,2017-2-24,-1.98%,71.928,76.9896,74.592,76.7232,76.86972,76.4568,76.57668,74.485435,2.66%,0,3.05%,0
300122.SZ,2018-10-19,163.5515,170.897,1883,1882,TRUE,160.3975,2018-10-24,-1.93%,144.8765,158.945,163.5515,164.7965,165.917,161.72551,160.3975,150.39601,-1.93%,0,1.45%,0
002594.SZ,2019-1-4,51.6636,54.49824,1819,1817,TRUE,50.698402,2019-1-10,-1.87%,48.5648,51.460403,51.6636,52.212242,53.136803,53.72608,52.6288,51.26736,1.87%,0,2.85%,0
300601.SZ,2018-11-14,59.6691,64.0278,436,434,TRUE,58.677124,2018-11-21,-1.66%,55.3104,60.54084,59.6691,61.096954,61.14204,62.254257,61.923603,60.94665,3.78%,0,2.47%,0
601888.SH,2018-10-12,137.7037,141.04552,2066,2065,TRUE,135.5046,2018-10-17,-1.60%,129.6834,136.41011,137.7037,136.90599,137.50967,133.45639,135.5046,120.110756,-1.60%,1,-0.14%,0
002049.SZ,2018-7-12,202.538,213.06116,1807,1803,TRUE,199.588,2018-7-20,-1.46%,191.0902,202.40591,202.538,203.81487,205.22383,204.56337,202.538,210.37534,0.00%,0,1.33%,0
300725.SZ,2020-3-25,150.96179,158.59799,573,571,TRUE,148.808,2020-3-31,-1.43%,149.0038,153.11559,150.96179,154.40788,158.59799,153.3114,150.96179,148.7884,0.00%,0,5.06%,0
300666.SZ,2018-8-9,53.5535,55.925873,280,278,TRUE,52.81276,2018-8-17,-1.38%,50.30025,53.643593,53.5535,54.634583,53.60355,55.80575,55.08503,54.054,2.86%,0,0.09%,0
002230.SZ,2018-3-26,515.7374,554.3264,1919,1914,TRUE,508.69696,2018-4-9,-1.37%,478.5744,508.87518,515.7374,534.89825,524.7385,525.7189,537.39355,526.61005,4.20%,0,1.75%,0
603659.SH,2020-4-14,70.1688,74.52901,541,538,TRUE,69.3069,2020-4-22,-1.23%,65.159645,69.39816,70.1688,71.04084,70.98,71.547844,72.683525,72.095406,3.58%,0,1.16%,0
000938.SZ,2018-6-26,150.8619,164.88675,1858,1853,TRUE,149.171,2018-7-6,-1.12%,142.34592,150.53339,150.8619,148.71394,149.39624,149.47205,150.33124,158.19019,-0.35%,0,-0.97%,0
300558.SZ,2017-12-13,62.888103,65.93722,274,271,TRUE,62.19603,2017-12-19,-1.10%,60.37057,63.43975,62.888103,63.9914,64.693504,63.590202,63.54005,62.186,1.04%,0,2.87%,0
