date,code,qfq_open,qfq_high,qfq_low,qfq_close,qfq_avg,f1mv_open,f1mv_high,f1mv_low,f1mv_close,f1mv_qfq_open,f1mv_qfq_high,f1mv_qfq_low,f1mv_qfq_close,f1mv_qfq_avg,f20max_f1mv_high,f20min_f1mv_low,f5max_f1mv_high,f5min_f1mv_low,curr_type,delist_date,enname,fullname,list_date,list_status,name,symbol
2018-07-17,000031.SZ,5.81,5.88,5.75,5.8,5.810814462433249,81.91754999999999,82.05758,80.79731,81.35743,5.85,5.86,5.77,5.81,5.826531317789069,87.93884,78.55683,87.93884,79.25698,CNY,,"COFCO Property (Group) Co.,Ltd.",中粮地产(集团)股份有限公司,19931008,L,中粮地产,000031
2018-07-18,000001.SZ,8.75,8.85,8.69,8.7,8.772635379986664,945.27125,951.7531100000001,938.78939,943.1106300000001,8.75,8.81,8.69,8.73,8.74942490598538,1036.01729,930.1469099999999,1036.01729,930.1469099999999,CNY,,"Ping An Bank Co., Ltd.",平安银行股份有限公司,19910403,L,平安银行,000001
2018-07-18,000002.SZ,22.15385370230185,22.182724927804415,21.576429192250544,21.624547901421483,21.797808411478595,3116.71,3152.4080000000004,3089.2500000000005,3113.9640000000004,21.845893963607818,22.09611125129672,21.65341912692405,21.82664647993944,21.910166920108395,3444.8570000000004,2817.396,3444.8570000000004,3023.346,CNY,,"China Vanke Co.,Ltd.",万科企业股份有限公司,19910129,L,万科A,000002
2018-07-18,000006.SZ,5.52,5.55,5.47,5.47,5.519031528283584,187.90074,189.26978,184.8204,185.50492,5.49,5.53,5.4,5.42,5.450502228435602,214.59702,182.42458,200.90662,182.42458,CNY,,"Shenzhen Zhenye(Group) Co.,Ltd.",深圳市振业(集团)股份有限公司,19920427,L,深振业A,000006
2018-07-18,000008.SZ,,,,,,,,,,,,,,,,,,,CNY,,"China High Speed Railway Technology Co., Ltd.",神州高铁技术股份有限公司,19920507,L,神州高铁,000008
2018-07-18,000009.SZ,5.129718902770233,5.2592069527430745,5.099837045084193,5.119758283541553,5.173219453573823,37.18845,37.77525,36.45495,36.45495,5.0500339489407935,5.129718902770233,4.950427756653992,4.950427756653992,5.004966206377041,38.142,33.72712,37.9953,36.01485,CNY,,"China Baoan Group Co.,Ltd.",中国宝安集团股份有限公司,19910625,L,中国宝安,000009
2018-07-18,000011.SZ,10.25,10.34,10.17,10.25,10.257503544824248,36.00055999999999,36.00055999999999,34.87992,34.87992,10.28,10.28,9.96,9.96,10.067550767846093,44.72053999999999,34.35462,37.786579999999994,34.35462,CNY,,Shenzhen Properties & Resources Development (Group) Ltd.,深圳市物业发展(集团)股份有限公司,19920330,L,深物业A,000011
2018-07-18,000012.SZ,4.87,4.9,4.84,4.85,4.869569605860387,115.86096,116.09837999999999,113.24933999999999,113.48676,4.88,4.89,4.77,4.78,4.816276739912878,126.30744000000001,113.24933999999999,126.30744000000001,113.24933999999999,CNY,,"CSG Holding Co.,Ltd.",中国南玻集团股份有限公司,19920228,L,南玻A,000012
2018-07-18,000016.SZ,5.03,5.04,4.96,4.96,4.99270511535011,105.02304,105.44652,101.6352,101.84693999999999,4.96,4.98,4.8,4.81,4.869143792894128,106.92869999999999,89.35427999999999,106.71696,98.03562,CNY,,"Konka Group Co.,Ltd",康佳集团股份有限公司,19920327,L,深康佳A,000016
2018-07-18,000021.SZ,6.99,7.18,6.93,6.93,7.055929583466846,95.59294,96.00796,93.65617999999999,94.20953999999999,6.91,6.94,6.77,6.81,6.828634026377092,100.01982000000001,85.49412,100.01982000000001,92.96448,CNY,,"Shenzhen Kaifa Technology Co., Ltd.",深圳长城开发科技股份有限公司,19940202,L,深科技,000021
2018-07-18,000025.SZ,31.95,32.25,31.75,32.0,32.009048187701644,60.256,60.36898000000001,58.97556,59.16386000000001,32.0,32.06,31.32,31.42,31.60908939909289,63.89019,54.24923,63.40061,58.97556,CNY,,"Shenzhen Tellus Holding Co.,Ltd",深圳市特力(集团)股份有限公司,19930621,L,特力A,000025
2018-07-18,000027.SZ,4.78,4.87,4.78,4.83,4.826045485028225,65.37488,65.50912,64.4352,64.70368,4.87,4.88,4.8,4.82,4.8405050567852115,69.8048,64.4352,69.8048,64.4352,CNY,,"Shenzhen Energy Group Co., Ltd.",深圳能源集团股份有限公司,19930903,L,深圳能源,000027
2018-07-18,000028.SZ,46.23,46.94,46.22,46.55,46.58476943667114,180.71616,183.25376,178.84224,178.92031999999998,46.29,46.94,45.81,45.82999999999999,46.26306550341595,183.25376,154.71552,183.25376,171.22943999999998,CNY,,China National Accord Medicines Corporation Ltd.,国药集团一致药业股份有限公司,19930809,L,国药一致,000028
2018-07-18,000030.SZ,5.165487274984482,5.21415270018622,5.137678460583488,5.186343885785226,5.17798133890946,16.755200000000002,16.912000000000003,16.5536,16.8,5.200248292985724,5.248913718187462,5.137678460583488,5.21415270018622,5.197677574931497,17.203200000000002,14.6601,17.203200000000002,16.486400000000003,CNY,,FAWER Automotive Parts Limited Company,富奥汽车零部件股份有限公司,19930929,L,富奥股份,000030
2018-07-18,000031.SZ,5.85,5.86,5.77,5.81,5.826531317789069,81.2174,81.77752,79.8171,79.8171,5.8,5.84,5.699999999999999,5.699999999999999,5.751055083571707,87.93884,78.55683,87.93884,79.25698,CNY,,"COFCO Property (Group) Co.,Ltd.",中粮地产(集团)股份有限公司,19931008,L,中粮地产,000031
2018-07-19,000001.SZ,8.75,8.81,8.69,8.73,8.74942490598538,943.1106300000001,993.8851999999999,930.1469099999999,984.16241,8.73,9.2,8.61,9.11,8.98856667138276,1036.01729,930.1469099999999,1036.01729,930.1469099999999,CNY,,"Ping An Bank Co., Ltd.",平安银行股份有限公司,19910403,L,平安银行,000001
2018-07-19,000002.SZ,21.845893963607818,22.09611125129672,21.65341912692405,21.82664647993944,21.910166920108395,3108.472,3225.177,3023.346,3177.1220000000003,21.788151512602685,22.606169568508705,21.191479518883,22.26933860431211,21.93727726639466,3444.8570000000004,2817.396,3444.8570000000004,3023.346,CNY,,"China Vanke Co.,Ltd.",万科企业股份有限公司,19910129,L,万科A,000002
2018-07-19,000006.SZ,5.49,5.53,5.4,5.42,5.450502228435602,184.47814,189.26978,182.42458,188.58525999999998,5.39,5.53,5.33,5.51,5.4455134369937905,214.59702,182.42458,202.61792,182.42458,CNY,,"Shenzhen Zhenye(Group) Co.,Ltd.",深圳市振业(集团)股份有限公司,19920427,L,深振业A,000006
2018-07-19,000008.SZ,,,,,,,,,,,,,,,,,,,CNY,,"China High Speed Railway Technology Co., Ltd.",神州高铁技术股份有限公司,19920507,L,神州高铁,000008
2018-07-19,000009.SZ,5.0500339489407935,5.129718902770233,4.950427756653992,4.950427756653992,5.004966206377041,36.5283,37.33515,36.01485,36.9684,4.960388375882673,5.069955187398153,4.890664041281912,5.0201520912547535,4.979130275266772,38.142,33.72712,38.142,36.01485,CNY,,"China Baoan Group Co.,Ltd.",中国宝安集团股份有限公司,19910625,L,中国宝安,000009
2018-07-19,000011.SZ,10.28,10.28,9.96,9.96,10.067550767846093,34.98498,35.58032,34.35462,35.30016,9.99,10.16,9.81,10.08,9.9949301423256,44.72053999999999,34.35462,37.786579999999994,34.35462,CNY,,Shenzhen Properties & Resources Development (Group) Ltd.,深圳市物业发展(集团)股份有限公司,19920330,L,深物业A,000011
2018-07-19,000012.SZ,4.88,4.89,4.77,4.78,4.816276739912878,113.24933999999999,115.62354,113.24933999999999,115.14869999999999,4.77,4.87,4.77,4.85,4.836871109037379,126.30744000000001,113.24933999999999,126.30744000000001,113.24933999999999,CNY,,"CSG Holding Co.,Ltd.",中国南玻集团股份有限公司,19920228,L,南玻A,000012
2018-07-19,000016.SZ,4.96,4.98,4.8,4.81,4.869143792894128,102.27042,103.54086,98.03562,102.27042,4.83,4.89,4.63,4.83,4.764584622140698,106.92869999999999,88.71906000000001,106.92869999999999,98.03562,CNY,,"Konka Group Co.,Ltd",康佳集团股份有限公司,19920327,L,深康佳A,000016
