date,code,layer2_l2_y_l_r_pred,layer2_l2_y_l_r_tree0_leaf,layer2_l2_y_l_r_tree1_leaf,layer2_l2_y_l_r_tree2_leaf,layer2_l2_y_l_r_tree3_leaf,layer2_l2_y_l_r_tree4_leaf,layer2_l2_y_l_r_tree5_leaf,layer2_l2_y_l_r_tree6_leaf,layer2_l2_y_l_r_tree7_leaf,layer2_l2_y_l_r_tree8_leaf,layer2_l2_y_l_r_tree9_leaf,layer2_l2_y_l_r_tree10_leaf,layer2_l2_y_l_r_tree11_leaf,layer2_l2_y_l_r_tree12_leaf,layer2_l2_y_l_r_tree13_leaf,layer2_l2_y_l_r_tree14_leaf,layer2_l2_y_l_r_tree15_leaf,layer2_l2_y_l_r_tree16_leaf,layer2_l2_y_l_r_tree17_leaf,layer2_l2_y_l_r_tree18_leaf,layer2_l2_y_l_r_tree19_leaf,layer2_l2_y_l_r_tree20_leaf,layer2_l2_y_l_r_tree21_leaf,layer2_l2_y_l_r_tree22_leaf,layer2_l2_y_l_r_tree23_leaf,layer2_l2_y_l_r_tree24_leaf,layer2_l2_y_l_r_tree25_leaf,layer2_l2_y_l_r_tree26_leaf,layer2_l2_y_l_r_tree27_leaf,layer2_l2_y_l_r_tree28_leaf,layer2_l2_y_l_r_tree29_leaf
20190220,000425.SZ,0.0033880928364325097,12,16,12,4,4,8,24,27,9,4,23,7,23,20,7,4,25,26,4,4,29,8,22,12,9,8,5,9,14,4
20190220,000426.SZ,0.002587664632941595,4,25,4,23,4,4,4,27,4,4,4,2,4,4,30,25,3,2,30,14,26,2,18,28,9,12,16,0,19,22
20190220,000429.SZ,-0.004174158156134398,12,4,12,4,4,8,26,27,9,4,20,8,12,20,11,20,15,29,4,25,24,8,22,10,9,7,5,30,14,4
20190220,000488.SZ,0.012278503243012757,12,16,12,4,4,8,24,27,9,4,23,7,21,20,12,4,25,26,20,4,29,4,5,12,9,2,20,29,14,12
20190220,000498.SZ,-0.000851106717618651,7,4,28,4,4,30,26,27,9,4,8,15,4,20,4,15,24,9,20,7,12,4,5,12,1,22,28,30,14,11
20190220,000501.SZ,0.013527623031948134,12,16,12,4,4,8,24,27,9,4,23,7,23,20,12,4,25,26,20,7,29,4,5,12,1,8,20,29,14,11
20190220,000503.SZ,-0.06848973204972728,7,2,8,22,20,16,2,2,2,24,2,15,13,4,24,21,10,10,7,25,26,0,18,28,9,22,30,28,19,22
20190220,000507.SZ,0.014109554542797793,29,25,4,23,13,18,26,21,4,4,23,8,30,13,12,20,15,29,20,7,24,4,22,4,1,7,5,30,1,18
20190220,000513.SZ,0.002066883542499715,12,30,12,4,4,8,9,27,9,4,8,15,23,4,30,20,25,9,4,25,4,8,7,5,9,2,5,9,14,4
20190220,000516.SZ,0.03544506953726406,29,19,4,8,13,18,16,28,4,6,23,16,21,20,12,4,15,26,20,4,29,4,22,12,1,2,5,29,14,12
20190220,000517.SZ,0.034984727892978455,29,19,4,8,13,18,16,21,4,6,23,16,30,20,12,20,15,29,20,25,29,6,22,5,1,2,5,30,14,12
20190220,000525.SZ,0.009725029908714366,12,4,12,4,4,8,26,27,9,4,23,7,21,20,7,4,15,26,4,4,29,8,5,12,19,8,5,29,14,4
20190220,000528.SZ,0.004589744996266995,12,4,12,4,4,8,26,27,9,4,8,15,4,20,30,15,15,9,4,25,12,8,7,12,9,2,1,9,14,4
20190220,000533.SZ,-0.02446760103559102,7,2,8,12,20,14,2,4,13,24,4,2,2,4,30,25,0,2,30,14,15,13,18,28,19,5,16,0,19,22
20190220,000536.SZ,0.0005157398000114539,4,25,4,23,4,4,4,4,4,4,4,2,4,4,30,25,0,2,30,14,15,2,18,30,19,22,16,15,19,22
20190220,000537.SZ,0.0672163517130921,1,1,1,1,21,1,1,14,14,1,13,1,1,14,13,20,15,26,17,4,29,4,22,4,1,2,5,29,1,12
20190220,000538.SZ,-0.003992020913554885,12,16,12,17,20,8,24,27,9,24,23,7,23,4,7,4,25,26,4,4,13,8,7,12,9,8,5,29,14,4
20190220,000539.SZ,0.032696343480967116,29,25,4,23,13,18,26,28,4,4,23,16,30,13,12,20,15,26,20,7,29,4,22,5,1,8,1,29,1,12
20190220,000540.SZ,-0.0840717156613628,2,2,2,2,2,23,2,11,19,2,14,20,2,2,9,21,10,20,7,22,26,13,3,9,19,22,16,0,19,22
20190220,000541.SZ,0.007193445435997537,12,16,12,4,4,8,24,27,9,4,23,7,23,20,12,4,25,26,20,4,13,4,5,12,1,8,5,29,14,12
20190220,000543.SZ,0.03310004718388624,29,25,4,23,13,18,26,28,4,4,23,7,30,20,12,20,15,26,20,4,29,6,22,4,1,8,1,29,14,12
20190220,000546.SZ,0.03420986978752451,29,25,4,23,13,18,26,28,4,4,23,16,30,20,12,20,15,26,20,25,29,4,5,10,1,2,5,29,14,12
20190220,000547.SZ,0.006126382255822565,4,25,4,23,4,18,26,27,4,4,20,8,4,13,11,20,15,29,4,25,24,8,22,5,19,2,1,9,1,4
20190220,000550.SZ,0.049172206493815616,9,1,9,18,21,19,8,18,15,17,13,29,4,1,12,15,16,9,1,7,12,6,22,4,14,2,5,30,5,12
20190220,000552.SZ,0.031253375609801765,29,25,4,23,13,18,26,28,4,4,23,7,21,20,12,20,15,26,20,4,29,6,5,12,9,8,1,29,14,12
20190220,000553.SZ,-0.011067461118133793,7,30,28,17,20,14,2,27,13,24,8,15,23,13,30,25,9,9,4,25,4,8,7,4,9,5,5,9,1,4
20190220,000555.SZ,0.010623726166601566,4,24,4,8,18,18,8,21,4,6,4,16,4,4,11,15,15,7,4,14,24,2,2,5,9,22,16,9,19,22
20190220,000558.SZ,0.032273688349969444,29,19,4,8,13,18,16,28,4,6,30,16,30,4,7,20,15,26,4,4,29,8,7,5,9,2,17,29,19,4
20190220,000559.SZ,0.030198505163606382,29,25,4,23,13,18,26,28,4,4,23,16,21,20,12,20,15,26,20,4,29,4,22,12,1,2,5,29,14,12
20190220,000560.SZ,0.013397928917921454,29,4,12,4,4,8,26,27,4,4,23,8,30,20,12,20,15,29,20,7,24,4,22,5,1,2,5,9,14,12
20190220,000563.SZ,0.07615301788795362,22,1,1,18,21,9,18,14,8,16,6,29,5,6,12,24,22,8,17,7,6,4,22,10,18,7,5,30,14,18
20190220,000564.SZ,-0.008890028938155886,12,23,12,4,4,8,24,27,9,4,20,8,4,20,11,15,9,29,4,27,24,8,5,5,9,2,20,30,14,4
20190220,000568.SZ,-0.03241611642416075,15,23,15,17,20,8,24,29,9,24,10,8,23,17,11,15,25,29,4,25,24,8,7,10,19,7,17,30,19,4
20190220,000572.SZ,0.03071201527187645,29,19,4,8,13,18,16,28,4,6,23,16,30,13,7,20,15,26,4,27,29,8,7,4,9,2,5,9,1,4
20190220,000576.SZ,0.0028998972469196247,4,19,4,8,13,4,8,21,4,6,4,16,4,4,30,15,15,9,4,25,12,17,10,5,9,2,30,20,19,22
20190220,000581.SZ,0.016112085770067043,29,4,4,4,4,8,26,27,4,4,23,7,21,20,7,4,15,26,4,4,29,8,5,12,19,8,5,29,14,4
20190220,000582.SZ,0.050064453232496885,9,19,9,8,13,9,16,28,8,6,23,29,30,20,12,20,15,26,20,7,29,6,22,4,1,8,5,29,14,12
20190220,000584.SZ,-0.009037693981406303,4,4,8,4,4,14,4,4,4,4,4,13,4,4,30,25,3,2,7,14,26,13,18,28,9,5,16,0,19,22
20190220,000587.SZ,0.030890299505795648,1,1,1,1,1,1,1,18,8,1,1,5,4,1,11,15,0,7,1,14,24,2,11,5,9,22,16,0,19,22
20190220,000591.SZ,0.0418252922955806,9,19,9,8,21,9,8,18,8,6,13,29,30,14,11,20,15,29,17,25,24,8,7,5,9,2,5,30,14,4
20190220,000592.SZ,-0.0022497527618924864,4,9,4,8,27,4,8,21,4,6,4,16,4,4,24,21,3,23,30,25,26,13,18,30,9,12,30,15,19,22
20190220,000596.SZ,-0.08182999864475707,2,2,2,12,2,2,2,11,2,2,2,20,2,15,24,21,26,20,7,22,25,13,18,28,9,22,16,0,19,22
20190220,000598.SZ,0.02035204894585891,29,25,4,23,4,18,26,27,4,4,23,7,21,20,7,4,15,26,20,4,13,8,5,12,19,8,5,29,14,4
20190220,000600.SZ,0.04695747115684099,9,19,9,8,13,9,16,28,8,6,23,29,30,14,12,20,15,9,17,27,29,4,22,4,9,2,5,29,14,12
20190220,000601.SZ,0.022588729903225118,29,25,4,23,4,18,26,27,4,4,23,7,21,20,7,4,15,26,20,4,29,8,5,12,9,2,5,29,14,4
20190220,000603.SZ,-0.05325053462446361,2,2,15,22,20,14,2,2,10,24,2,15,13,17,30,25,10,10,7,27,26,13,18,28,9,12,17,28,19,22
20190220,000607.SZ,0.029607574411267126,4,25,4,23,13,18,26,21,4,4,8,16,30,20,12,20,22,9,20,7,12,6,22,4,1,2,5,30,14,12
20190220,000612.SZ,0.042514298740636745,1,1,1,1,1,1,1,18,8,1,1,29,12,1,11,15,15,29,1,14,24,2,2,4,9,0,5,18,1,22
20190220,000615.SZ,0.027926669135988267,29,25,4,23,4,18,26,27,4,4,23,7,30,20,12,20,15,26,20,4,29,6,22,5,9,2,5,29,14,12
20190220,000617.SZ,0.07117709171775317,9,1,9,18,21,9,16,14,8,16,6,29,5,6,12,24,15,8,17,7,28,6,29,10,7,27,5,29,1,12
20190220,000620.SZ,0.008808896325277536,12,4,12,4,4,8,26,27,9,4,23,13,30,13,30,20,15,9,20,27,12,8,5,5,9,2,5,30,1,4
20190220,000623.SZ,0.030208198476941565,29,25,4,23,13,18,26,28,4,4,23,16,21,20,12,4,15,26,20,7,29,6,22,12,1,8,5,29,14,12
20190220,000625.SZ,0.02234751889150246,4,25,4,23,13,18,26,21,4,4,8,13,4,13,30,20,15,9,20,25,4,8,22,4,9,2,1,28,1,4
20190220,000627.SZ,0.037355519456163104,29,19,4,8,13,18,16,28,4,6,23,16,30,20,7,20,15,26,4,25,29,8,7,10,9,2,5,29,14,4
20190220,000630.SZ,0.023125369676374453,29,25,4,23,13,18,26,28,4,4,23,7,21,13,7,4,15,26,20,4,29,8,22,12,19,8,5,29,1,4
20190220,000631.SZ,0.03126429545276106,29,25,4,23,13,18,26,28,4,4,23,16,21,20,12,4,15,26,20,7,29,6,5,12,1,2,5,29,14,12
20190220,000636.SZ,-0.05683662199269358,2,2,2,22,2,14,2,2,13,2,2,23,2,15,30,25,0,2,11,14,15,13,18,28,12,5,8,0,19,22
20190220,000650.SZ,0.016243363133856794,4,19,4,8,13,18,8,21,4,6,20,16,21,20,11,4,15,29,20,25,24,8,22,12,19,2,5,30,14,4
20190220,000651.SZ,0.004999835455044489,12,16,12,4,4,8,24,27,9,4,23,7,21,20,7,4,25,26,4,4,29,8,7,12,19,8,5,29,14,4
20190220,000652.SZ,-0.0018554791173767222,7,4,28,4,4,30,26,27,16,4,8,15,5,13,4,24,24,8,20,7,14,6,22,4,1,22,5,30,1,12
20190220,000656.SZ,0.03265528660851695,29,25,4,23,13,18,26,28,4,4,23,7,30,20,12,20,15,26,20,4,29,4,22,4,1,2,1,29,14,12
20190220,000657.SZ,0.04525272141753022,9,19,9,8,13,9,16,28,8,6,23,29,30,13,7,20,15,26,17,4,29,8,22,4,9,8,5,29,1,4
20190220,000661.SZ,-0.011663646972037854,12,30,12,17,20,8,9,29,9,24,10,15,23,17,30,20,25,9,4,25,12,8,7,12,19,2,5,30,14,4
20190220,000662.SZ,0.06565192534989922,22,1,1,18,21,20,18,18,14,1,1,1,1,14,13,24,17,8,1,7,7,6,24,30,15,12,5,28,14,12
20190220,000665.SZ,0.011198987294298848,12,4,12,4,4,8,26,27,9,4,23,7,30,13,7,20,15,26,4,25,29,8,7,12,9,2,5,29,1,4
20190220,000666.SZ,-0.021206887025876003,7,2,28,17,20,14,2,27,13,24,8,15,23,20,30,25,9,10,7,25,26,8,18,28,9,0,5,28,14,22
20190220,000667.SZ,0.022820200857279593,29,25,4,23,13,18,26,28,4,4,23,7,21,20,7,4,15,26,4,4,13,8,7,12,19,8,5,29,14,4
20190220,000669.SZ,0.029057180496839495,1,1,21,1,1,1,1,18,1,1,1,1,19,1,1,8,17,2,1,14,7,12,11,9,19,0,16,1,19,22
20190220,000671.SZ,0.029997875950612794,29,25,4,23,13,18,26,28,4,4,23,16,30,20,7,20,15,26,4,4,29,8,5,5,9,2,5,29,14,4
20190220,000673.SZ,0.03351704550064883,9,9,9,8,1,19,8,18,15,17,1,29,4,1,30,25,3,2,1,14,26,13,18,29,9,22,16,1,19,22
20190220,000676.SZ,0.027788233760160635,29,25,4,23,13,18,26,21,4,4,23,16,30,20,12,20,15,9,20,27,29,6,22,5,9,2,5,30,14,12
20190220,000681.SZ,-0.011556323147315277,12,30,15,17,20,8,9,29,9,24,10,15,23,17,12,20,25,9,20,25,12,4,22,5,1,2,1,20,14,12
20190220,000683.SZ,0.014266069926268388,12,4,12,4,4,8,26,27,4,4,23,7,21,20,12,4,15,26,20,4,29,4,5,12,1,8,5,29,14,12
20190220,000685.SZ,0.014778491338699204,12,4,12,4,4,8,26,27,4,4,23,7,21,20,12,4,15,26,20,7,29,4,22,12,1,8,5,29,14,12
20190220,000686.SZ,0.07672671092233088,22,1,1,18,21,20,18,14,14,1,6,29,1,6,12,24,15,8,17,7,28,4,22,4,7,8,5,29,1,12
20190220,000687.SZ,0.017880328120016192,4,19,4,8,13,18,8,21,4,6,20,16,30,20,11,20,15,29,4,27,24,8,7,5,9,2,5,9,14,4
20190220,000688.SZ,0.04769362639675981,9,19,9,8,13,9,16,28,8,6,23,29,30,13,12,20,15,26,20,4,29,6,5,12,1,8,5,29,1,12
20190220,000690.SZ,0.015453738267098154,12,4,12,4,4,8,26,27,4,4,23,7,21,20,12,20,15,26,20,4,13,4,5,12,19,2,1,29,14,12
20190220,000703.SZ,0.02612836995082891,29,25,4,23,13,18,26,21,4,4,23,16,21,20,12,4,15,9,20,25,12,4,5,12,1,2,1,9,14,12
20190220,000709.SZ,0.02307526238608339,29,25,4,23,13,18,26,28,4,4,23,7,21,20,7,4,15,26,4,4,13,8,7,12,9,8,5,14,14,4
20190220,000710.SZ,0.0064785456141445,12,16,12,4,4,8,9,27,9,4,23,7,23,20,30,20,9,9,20,27,12,8,5,5,9,2,5,30,14,4
20190220,000712.SZ,0.026981909232919314,4,25,4,23,27,18,26,21,30,4,8,16,5,13,4,24,22,8,20,7,14,6,15,4,18,0,5,28,5,12
20190220,000717.SZ,-0.007763136773717396,7,30,28,17,20,14,2,29,13,24,10,15,23,17,15,25,9,9,20,25,4,4,22,5,9,5,28,28,14,11
20190220,000718.SZ,0.0394492280601488,29,19,4,8,13,18,16,28,4,6,23,16,30,20,12,20,15,26,20,4,29,4,5,5,1,2,5,29,14,12
20190220,000719.SZ,0.04959970740532073,9,19,9,8,13,9,16,28,8,6,13,29,30,14,12,20,15,26,17,4,29,4,22,4,19,2,5,29,14,12
20190220,000723.SZ,0.003057205437292004,4,4,4,4,4,14,26,27,4,4,8,15,4,20,30,25,3,23,7,27,26,13,18,28,9,5,28,28,14,22
20190220,000725.SZ,0.003180206206874597,24,25,4,23,18,18,26,21,4,4,20,8,12,13,11,15,22,7,4,14,24,2,2,4,9,22,3,0,1,22
