,上证综指,深证成指,中小板指,创业板指,上证50,沪深300,中证500,mean,max,argmax,min,argmin
5月1-10日,-0.07070740027115487,-0.07386718896816688,0.2853053659968921,0.3248433413968179,-0.05402079075569242,0.0589827818001637,0.1879480622976532,0.09406916735664468,0.3248433413968179,创业板指,-0.07386718896816688,深证成指
5月11-20日,-0.007210211749123073,0.04655564464038695,0.3302036033357651,0.1965487059572564,-0.05622496790070298,0.028533103887424693,0.16079026029202584,0.09988516263757612,0.3302036033357651,中小板指,-0.05622496790070298,上证50
5月21-30日,0.04650969898498523,0.0642455481573898,0.047273735158530235,0.03678064989542037,-0.017899083444929687,0.008265964741004342,0.10501905936405383,0.04145651040806487,0.10501905936405383,中证500,-0.017899083444929687,上证50
6月1-10日,-0.11402855433045574,-0.09765535416099735,-0.012435590426553973,0.29367375857298944,-0.1264458629340293,-0.05546750970649168,-0.062348888411880084,-0.024958285913916956,0.29367375857298944,创业板指,-0.1264458629340293,上证50
6月11-20日,-0.24897805555837493,-0.27817243881980264,-0.32774415569536586,-0.6102970871375735,-0.2453581123888907,-0.2777013839701949,-0.3666097936656184,-0.33640871817654583,-0.2453581123888907,上证50,-0.6102970871375735,创业板指
6月21-30日,-0.025519498223993877,-0.00651294867874059,-0.23195167927292606,-0.09899432943622263,-0.12314106912597922,-0.15658935881399794,-0.31279944380055263,-0.1365011896217733,-0.00651294867874059,深证成指,-0.31279944380055263,中证500
7月1-10日,0.062406682600946325,0.05232532912913633,0.15492103377269292,-0.06427974045306058,0.12179886899980631,0.056784510796273946,0.09079832811176204,0.06782214470822247,0.15492103377269292,中小板指,-0.06427974045306058,创业板指
7月11-20日,0.09663777041107989,0.13805622555296673,0.20761827125925147,0.18397590802417346,0.07760494449298318,0.11092872660972736,0.21319535459126057,0.1468596001344918,0.21319535459126057,中证500,0.07760494449298318,上证50
7月21-30日,-0.011945491870460472,-0.019689034563096595,-0.023165582807328795,-0.2217561192114898,0.10259122851359545,0.16033627999620761,0.1847521656525013,0.024446206529989817,0.1847521656525013,中证500,-0.2217561192114898,创业板指
8月1-10日,0.07764467061905454,0.0530251760616935,0.06425798733819234,0.32760736135007823,0.0284146198437448,0.01807604286817368,0.14125260655213234,0.10146835209043849,0.32760736135007823,创业板指,0.01807604286817368,沪深300
